grp4betas,grp4cols
21029.490984131757,property_value
16628.335643690134,workhours_week
9623.878569770992,age
8622.571180810857,educational_attainment_5.0
8370.249808922943,own_children_presence_nan
6520.0958858203885,household_family_type_6.0
5431.989806662557,household_family_type_1.0
5207.123074601598,family_employment_status_nan
-4840.658452598748,own_children_presence_2.0
-4517.998389480006,worker_class_3.0
-4292.912783471315,marital_status_5.0
4052.822138120944,telephone_service_8.0
-3778.3378266462846,marital_status_3.0
3472.0692781443495,family_employment_status_2.0
-3432.2197449420055,worker_class_6.0
3351.1562876747976,household_family_type_3.0
2944.288640739672,school_enrollment_3.0
-2677.956160089292,household_60_presence_2.0
2427.9659917718523,worker_class_7.0
-2381.0097969546573,marital_status_2.0
-2337.234929844534,subfamily_relationship_1.0
2333.083825289167,tablet_1.0
-2281.5961213223295,health_insurance_coverage_2.0
-2245.601164551524,family_presence_age_children_3.0
1928.521581737063,family_employment_status_5.0
-1881.6676440044578,educational_attainment_1.0
842.7176560063932,smartphone_1.0
